,index,GradCAM_mean,GradATT_mean,ATMAN_mean,chefer_mean,rand_mean,GradCAM_mask,GradATT_mask,ATMAN_mask,chefer_mask,rand_mask,GradCAM_std,GradATT_std,ATMAN_std,chefer_std,rand_std
0,0,4.434653759,4.439938545,4.393401623,7.460361004,5.689567089,0.386230469,0.298448086,0.392822266,0.396399021,0.500623107,2.891832113,1.636150241,2.518411875,3.485591412,3.300420046
1,1,0.423770726,1.812807322,2.244759083,0.935331166,1.562645316,0.429199219,0.446921378,0.41015625,0.483877957,0.49518761,0.461875141,2.72591424,1.74936223,1.256801605,2.754163027
2,2,2.790499926,2.433051825,2.088417053,2.746009588,2.013954878,0.498291016,0.396357358,0.500976563,0.457315683,0.497905076,0.8836025,0.187781155,0.532314837,1.485049009,1.123124599
3,3,0.378813088,0.631591618,0.422158301,0.304024458,0.24980326,0.5625,0.674359262,0.443359375,0.493212104,0.494201094,0.184721291,0.54908967,0.29373917,0.253353924,0.209316418
4,4,0.659211576,1.559893489,1.132095218,0.22364758,0.328644633,0.409912109,0.37652868,0.619628906,0.53641212,0.497872561,0.669857919,1.764587283,0.826330841,0.209799916,0.317443848
5,5,0.370048076,1.687716842,2.723195314,0.131183669,1.554715157,0.304199219,0.344919324,0.396972656,0.38572526,0.499195278,0.488018781,1.604784727,2.334760904,0.077482387,2.041890621
6,6,4.32401228,2.563368082,4.041606903,4.3861413,1.862484336,0.320556641,0.317293614,0.476318359,0.371344507,0.505253077,2.051748514,0.860028088,1.123749733,2.166474342,1.213266969
7,7,3.255192995,5.002652168,2.703436613,2.035763502,4.110846043,0.418212891,0.390029281,0.383789063,0.435259551,0.496536195,1.686177731,3.418996811,1.023539782,0.81184268,1.682663321
8,8,1.927551627,3.3840065,7.132797241,2.477478981,2.14607501,0.467041016,0.426208228,0.531738281,0.391534835,0.494790792,2.658898354,3.48150754,1.722004294,4.156510353,2.855525255
9,9,0.374736875,1.941715598,2.467943192,2.195230246,1.739120841,0.434814453,0.420520037,0.747070313,0.382254839,0.495917261,0.372389674,1.355997682,1.536280394,1.896766543,1.083977342
10,10,0.520504236,0.875112176,0.638671041,0.450197607,1.056086183,0.420654297,0.36568737,0.284912109,0.466342837,0.504595101,0.176783398,0.578591287,0.361614913,0.174474895,0.627490461
11,11,0.869172275,1.161631942,4.221324444,1.576345801,3.347998142,0.388916016,0.458298236,0.311035156,0.620960176,0.504996061,0.875172079,1.795036793,2.448491096,1.488643289,2.9950037
12,12,2.899347782,3.435926199,3.197547197,2.795802832,2.960399866,0.378173828,0.300625116,0.647949219,0.412646055,0.496743709,0.637466252,0.830029666,0.632275999,0.369705826,1.112159967
13,13,2.188192844,1.630276561,0.002685628,5.666612148,0.385517508,0.410644531,0.455545992,0.577636719,0.385538638,0.486596584,3.50682354,2.375775337,0.000855292,3.053025484,0.543841958
14,14,5.058175564,3.642983198,3.271949768,0.387004286,0.707998931,0.353027344,0.406641304,0.388916016,0.379169792,0.498301029,3.36648345,3.237282991,2.174626112,0.247541785,0.973484695
15,15,0.53383559,0.998604417,3.898803473,0.488387913,1.661887169,0.603027344,0.588559151,0.702636719,0.487452328,0.505442083,0.738803983,0.787106395,1.525868773,0.619813979,0.811817765
16,16,1.427633643,2.485216856,0.992338479,1.27896297,1.354253411,0.308105469,0.256171823,0.405761719,0.339731514,0.501470208,1.243480325,1.770628691,0.709667742,0.883945405,0.96358645
17,17,2.846866369,2.331117392,4.499186993,2.332526445,2.102258444,0.314208984,0.317214251,0.318847656,0.294415861,0.494342178,2.56603241,1.532344103,0.834203482,2.060118914,2.84376502
18,18,3.134628773,5.860134602,2.058590889,5.115400791,3.969017744,0.487548828,0.517665684,0.60546875,0.48369348,0.494346261,4.212452888,2.662081957,2.897458792,2.272658587,3.632388353
19,19,1.509455562,1.262619853,1.46689415,1.189059615,1.096166492,0.450927734,0.512273014,0.478759766,0.407701045,0.501832128,1.077390552,0.446815878,1.07867384,0.35420233,0.588890672
20,20,0.332106948,1.854382396,0.503687382,1.800231218,1.685924888,0.361816406,0.353767157,0.392578125,0.347227395,0.495295137,0.169786513,1.386777043,0.39434433,1.282885075,1.852939963
21,21,4.206245422,3.284370422,3.688217878,2.142340183,1.338404298,0.360839844,0.338435024,0.55859375,0.379181057,0.503756106,1.202799082,2.291646242,2.617641211,1.161739469,1.514518619
22,22,1.586496115,1.577778816,0.474723727,1.597089171,0.756008327,0.342773438,0.284710288,0.399169922,0.352171928,0.504586637,1.840470672,1.698441982,0.384028554,1.916778684,0.627900958
23,23,1.469437599,1.462545872,1.842311263,2.920148134,1.173254371,0.303955078,0.311827719,0.615234375,0.364571035,0.505811036,0.923953414,0.576081753,2.31903863,1.329437256,0.456592947
24,24,1.553479671,1.457267404,1.465203285,1.494755626,1.687139392,0.391113281,0.35765332,0.374511719,0.308109224,0.500957072,0.612820685,0.193253398,0.444537967,0.313570321,0.298297554
25,25,3.954955339,4.737574577,2.408355236,3.994931936,1.858754039,0.478271484,0.427925438,0.457763672,0.505954981,0.501150429,2.343608856,1.8911376,2.139046192,2.085127115,2.126778364
26,26,0.4488011,2.341487646,0.604551673,0.073964819,0.041073579,0.362060547,0.371905833,0.538085938,0.361431479,0.502056301,0.661136806,2.834490776,1.233570337,0.09881977,0.025560101
27,27,0.814402282,1.166278124,2.156509161,0.443051159,1.143849611,0.235839844,0.307391584,0.514160156,0.509662986,0.506703973,0.740751565,0.832301378,2.095095158,0.336295217,0.815256417
28,28,1.16985929,1.491851926,0.8229599,0.466813236,3.075877905,0.415527344,0.416768074,0.553222656,0.368508756,0.499073386,1.516815543,2.393239021,0.991320491,0.902288258,1.849316835
29,29,3.431994677,4.217412472,3.754015684,4.909117222,2.397667408,0.292724609,0.278226405,0.605957031,0.313161075,0.501905084,1.95241344,0.78982991,0.35335052,2.554698229,2.071974039
30,30,0.619988084,0.728365421,3.52260375,0.661156356,0.873078525,0.519042969,0.565735698,0.591308594,0.590435386,0.498477936,0.505212069,0.305622011,3.910777569,0.244274899,0.502048314
31,31,2.617190123,3.465878248,2.437268734,3.093511343,2.267392874,0.408447266,0.308874458,0.520507813,0.372206986,0.497367561,1.34773159,0.606205821,0.764206469,1.519088745,1.346194625
32,32,0.987981915,4.21036911,3.024791718,4.919484138,2.717489719,0.322998047,0.335821062,0.401611328,0.426508695,0.507826447,0.28769666,3.202372313,2.009208679,2.55440259,1.988919258
33,33,0.065071456,0.464682311,0.747144818,0.509305179,1.99209106,0.469970703,0.484952867,0.449951172,0.512089014,0.502538025,0.048535708,0.44343552,0.739710867,1.0415591,1.504889131
34,34,3.056893349,2.956555605,2.520369053,4.994087219,4.474174976,0.467285156,0.493929297,0.540527344,0.449647546,0.504797816,0.949933231,1.156280875,1.064652562,2.965816021,1.553437948
35,35,5.108639717,6.097499371,3.786238909,4.798270226,4.518538952,0.252929688,0.19944711,0.756835938,0.252350628,0.5006181,1.804565907,0.602171957,1.218105197,1.702812433,1.978469968
36,36,1.680274248,2.195584297,1.678941965,2.164412498,1.646533251,0.392822266,0.412734121,0.266113281,0.378878444,0.500281513,0.476190716,0.483402938,0.350881636,0.952008128,0.447792858
37,37,0.846663952,1.292469859,1.532795072,0.49303475,1.000172019,0.569824219,0.483888835,0.454101563,0.591021657,0.499155015,0.493316799,1.028617382,1.756714225,0.303744346,0.858457088
38,38,1.485434532,2.374804974,1.900733232,2.543498755,2.921160698,0.389160156,0.357686371,0.391113281,0.456149727,0.498185843,0.413696408,2.01926899,1.109546185,2.36763835,1.916404247
39,39,2.530964613,2.65981102,1.549010873,1.774904609,2.182162046,0.361083984,0.43803212,0.453369141,0.468608022,0.501676381,1.03930974,1.898724318,0.613928318,0.406387329,0.952892959
40,40,0.615468919,0.677991092,1.411012053,2.101675749,1.061032653,0.3671875,0.425608516,0.437744141,0.360610038,0.510555565,0.631315231,0.559689701,1.575654864,2.169842005,0.526146114
41,41,2.312618494,2.330323935,4.426566124,2.436992407,1.446610451,0.390625,0.381519079,0.698242188,0.358257294,0.493062228,1.610210061,0.979937375,0.928026736,1.561697721,0.855907559
42,42,4.680706501,5.704938412,6.543406963,4.881288052,2.699945211,0.318359375,0.271204829,0.424560547,0.314426273,0.499365866,2.163040876,3.135666609,0.317914546,2.898871899,2.534346819
43,43,0.055737901,0.02580891,0.039569382,0.003980668,0.083910823,0.488769531,0.45187363,0.607910156,0.536146045,0.50468421,0.10854204,0.032559577,0.076029308,0.002976092,0.096732803
44,44,1.37562716,2.645090818,3.449252844,0.96864146,1.205961108,0.317626953,0.331534117,0.732910156,0.3528786,0.496192932,1.055736542,0.578188241,0.594112337,1.104266286,1.251693487
45,45,1.244571567,2.18867588,1.411325455,2.622577667,1.347599506,0.47265625,0.470486283,0.495605469,0.527811348,0.504304767,0.189144,1.636124849,0.158255696,2.129986763,0.618544817
46,46,4.440120697,5.313132763,3.578761816,5.336656094,3.336639404,0.380371094,0.35070774,0.549316406,0.278658777,0.498130232,0.473856658,1.13035059,2.029443741,1.560033917,2.628139257
47,47,1.858687282,2.388648987,3.779058456,2.058923721,2.303430319,0.5078125,0.445540994,0.668945313,0.474443346,0.503337801,0.429741234,1.224227428,2.018122911,0.29374516,0.732609749
48,48,1.377352715,1.069889069,0.807599843,0.784398973,0.987253845,0.587890625,0.464074075,0.533203125,0.62325871,0.506980062,0.872520745,0.45243156,0.421736985,0.610112667,0.643477499
49,49,0.259985656,0.81801796,0.32359311,0.223409563,0.44700107,0.30859375,0.251321822,0.535644531,0.425241441,0.499668419,0.284816265,0.654310107,0.16218324,0.113661654,0.269061953
50,50,0.837909639,1.175384879,1.425404906,0.556928158,0.427037537,0.464111328,0.410218388,0.357666016,0.541602194,0.495623291,1.023624539,1.503580213,0.360698193,0.174419522,0.19143337
51,51,1.011156797,0.698026061,0.44241786,1.046587825,0.786449134,0.501953125,0.482280582,0.531738281,0.504626691,0.504037082,0.974957466,0.391373575,0.362336993,0.560114324,0.683340013
52,52,2.534826994,2.497353792,3.789417028,1.627717614,1.56099093,0.490966797,0.452932179,0.481445313,0.463201463,0.499659747,1.245362878,1.88101995,1.382889748,1.563089371,1.907844305
53,53,2.101002455,1.517083883,3.517620564,3.057867289,1.736076355,0.378417969,0.33225888,0.271240234,0.350022614,0.492664725,1.551317692,0.961411893,3.147015572,1.747346997,2.155641079
54,54,1.268432617,2.428366661,1.548443794,1.643752456,1.824826121,0.270996094,0.245158687,0.40234375,0.298734128,0.500814319,0.294236332,0.990574539,2.183687687,1.171867371,0.887034774
55,55,1.50940311,3.106856108,4.272617817,0.940359116,1.383779407,0.462646484,0.431114137,0.524902344,0.411689073,0.501853168,1.956457138,1.783217311,3.301836967,0.603552997,1.30999434
56,56,3.533970356,3.145490885,2.183842421,3.507539034,2.840623379,0.500488281,0.509278178,0.451904297,0.529305995,0.501763344,1.197757363,1.617794037,1.028375864,2.175669432,2.268120527
57,57,3.063057423,5.098556519,1.963948607,1.980918884,2.812659025,0.441650391,0.356971592,0.432373047,0.475807041,0.505623937,2.949059725,1.984328985,1.474526525,2.601098299,3.71195364
58,58,1.882281184,2.036745548,2.335665226,1.668772101,3.062201738,0.54296875,0.458431453,0.457763672,0.433219016,0.496300668,1.400698662,1.604377389,1.072568178,1.120369554,2.36442709
59,59,1.78876245,1.407831907,2.683208227,2.418241501,2.631713867,0.467041016,0.469615757,0.436035156,0.336000502,0.508669376,1.068724632,1.429990768,1.948323727,1.988966584,2.300471783
60,60,0.944609106,3.134668112,2.275183916,1.388080597,1.385196805,0.451416016,0.358508289,0.694824219,0.450233996,0.488806874,0.33976686,1.104397178,1.284082294,0.604921043,0.489819348
61,61,1.483255625,1.563319564,2.162512302,1.959391475,1.899548888,0.419921875,0.364485383,0.497558594,0.355136693,0.496349871,0.33366698,0.331052572,0.979178369,0.636299729,1.063408256
62,62,4.502083778,5.050947666,4.414927483,0.960395813,1.952083468,0.325439453,0.289387852,0.456787109,0.418546289,0.501462698,1.049251914,1.037456751,1.592476726,2.046406031,3.377945185
63,63,0.373489708,0.315583378,0.434108466,0.538556218,1.275070071,0.645996094,0.545936406,0.329101563,0.678862691,0.509508848,0.139756918,0.094864085,0.186769858,0.405825794,1.47505939
64,64,0.910260201,2.960283041,1.37148118,1.459008694,2.611219406,0.2578125,0.271745026,0.48828125,0.343745559,0.499991089,0.476531923,2.787839413,1.658617258,1.527279496,1.728069305
65,65,2.932585478,3.443089724,1.535466433,4.009736538,1.735797167,0.39453125,0.280208409,0.424560547,0.408209741,0.494540513,1.850421548,0.814537048,0.936288357,1.174387336,0.527554989
66,66,1.835958362,4.261768341,1.444195986,2.313114166,4.358571053,0.469726563,0.468108237,0.650390625,0.594771087,0.499583364,1.649629116,1.196338534,1.562712431,2.495388746,1.178007841
67,67,4.320073128,4.579120159,4.285438538,3.514473677,3.710433245,0.267578125,0.289921999,0.501953125,0.372904956,0.49591437,0.638774991,1.11233151,0.455135912,1.535807014,0.778461099
68,68,2.092774153,0.755206704,0.427155495,0.877423227,0.706636608,0.628417969,0.656795502,0.435058594,0.55047518,0.500973701,2.574864388,0.314586669,0.15191339,0.466621786,0.836168349
69,69,0.980431974,0.92459029,0.569169939,1.453470588,0.492398173,0.347412109,0.292836726,0.517089844,0.31904158,0.498440295,0.989942431,0.653779328,0.157058939,2.094874859,0.200036407
70,70,0.340958208,2.685764313,1.432613611,3.009556055,0.461626291,0.407470703,0.291481435,0.678222656,0.299460322,0.497620553,0.112524375,0.851284802,0.678713381,2.512030363,0.340414375
71,71,3.620888472,3.029235601,1.012582898,5.212331295,2.221443415,0.429443359,0.306299448,0.624511719,0.466368943,0.503503621,1.787638545,2.543846607,0.845540106,2.679313183,2.650302172
72,72,1.044928193,0.329999596,0.296578646,0.381947577,0.304185212,0.492675781,0.402174115,0.364013672,0.460500717,0.503694654,0.802059412,0.123179398,0.161987513,0.337403953,0.115091763
73,73,4.11366415,3.899130344,4.350563049,3.20091033,3.554852247,0.63671875,0.458580583,0.552246094,0.675257385,0.501440108,2.306007147,1.053568006,1.27224195,2.041517496,0.86705339
74,74,1.811145425,2.619990349,2.011692286,2.116716623,1.249968529,0.340332031,0.35386315,0.455078125,0.396077871,0.501646996,1.245233893,1.464967132,2.088298321,1.587601542,0.864418745
75,75,0.89728564,0.638084948,1.241380215,1.382282019,0.674961865,0.454833984,0.449989915,0.458496094,0.436505586,0.492236197,0.85131681,0.216956496,0.614416361,1.734856486,0.481095463
76,76,4.085775852,3.88882637,2.736898184,3.192273378,4.013736248,0.480712891,0.423287988,0.514648438,0.439627498,0.506747425,0.296201974,0.179077506,1.188066006,1.079616189,0.357846141
77,77,2.108438253,3.382982016,2.707251072,4.385576248,1.877635241,0.374511719,0.444465816,0.430908203,0.367512256,0.50254029,2.372135639,1.813928843,1.765333652,1.446147561,0.282229125
78,78,3.057045698,0.841659963,0.915271223,1.607923388,2.018467188,0.484619141,0.532856703,0.368408203,0.478256166,0.502014816,1.082907557,1.290687442,0.92037338,0.865861356,0.7567451
79,79,1.022176862,5.219731808,5.952218056,4.409900188,1.412281275,0.373779297,0.408093035,0.569335938,0.349298418,0.50313127,1.72061944,3.045962334,3.377304554,2.768246174,2.296828985
80,80,0.14704375,0.282458335,0.796280682,1.585310578,0.732278764,0.464599609,0.496673495,0.596679688,0.466167241,0.497768492,0.035008624,0.113444947,0.808864295,3.096240282,0.940238237
81,81,1.559182167,1.56447947,0.777575135,1.010475039,0.967127025,0.554199219,0.64930445,0.460205078,0.501587391,0.497409701,2.632470369,1.237836361,0.115945041,0.680575907,0.482318908
82,82,1.734300256,3.106267929,1.376830935,2.91717124,1.815806985,0.330566406,0.350617945,0.376220703,0.330653191,0.495097131,1.211889148,0.685118556,0.864074647,2.043473482,1.145501137
83,83,2.111406326,4.869189262,2.858520985,2.895921469,3.566514969,0.419921875,0.370116711,0.337402344,0.437674761,0.502319753,2.250713348,3.082345724,2.222047091,2.21144557,1.501605511
84,84,4.234798431,4.945549965,1.038274527,5.703708649,3.902596235,0.369873047,0.3840819,0.434326172,0.337796956,0.499290049,0.920321167,1.470413566,1.91194725,3.374593019,1.732614279
85,85,2.937145948,1.999867439,1.598587155,4.128788948,2.181899786,0.7109375,0.737131774,0.591308594,0.621892869,0.493752956,0.797972083,0.585914254,0.264383942,2.298448563,0.974689603
86,86,1.240065813,1.358829141,1.369172931,2.1074121,0.83701086,0.453857422,0.410691947,0.541992188,0.467875391,0.496610641,0.297599822,0.316379637,0.465914696,1.90771842,0.364892811
